Flight_id,Airline,Flight_Number,Route,Departure_Airport,Arrival_Airport,Departure_Time,Arrival_Time,FlightDuration_minutes,Delay_Minutes,Early_minutes,Late_Minute,Cancelled,Cancellation_Reason,Passenger_Count,Ticket_Price,Aircraft_Type,Distance_km,On_Time_Percent,Class,Loyalty_Member,Baggage_Allowance,Fuel_Surcharge,Gate,Terminal,Crew_Size
1,KLM,5467,NBO - LOS,NBO,LOS,2025-06-09 15:07,2025-06-09 17:49,162,-18,18,0,No,,174,229.20,B737,3079,100,First,Yes,UNKNOWN,31.57,Q7,UNKNOWN,16
2,KLM,3354,LAX - ATL,LAX,ATL,2020-03-18 16:56,2020-03-18 22:26,330,-30,30,0,No,,229,251.90,A380,5972,76.79,First,UNKNOWN,1pc,25.41,T7,T3,14
3,South African Airways,1482,AMS - LHR,AMS,LHR,2022-05-04 11:40,2022-05-04 14:26,166,28,0,28,No,,207,947.27,CRJ900,4479,80.7,Business,Yes,No,36.29,V46,T1,9
4,Kenya Airways,6891,ATL - CDG,ATL,CDG,2022-01-30 20:27,2022-01-30 22:38,131,0,0,0,No,,231,691.79,A320,6838,100,Business,No,1pc,38.38,F47,T1,13
5,Qatar Airways,6122,ORD - SIN,ORD,SIN,2021-11-24 11:47,2021-11-24 13:07,80,-5,5,0,No,,252,453.81,A380,10703,100,Business,No,23kg,37.14,K3,T3,20
6,British Airways,3080,LOS - ORD,LOS,ORD,2021-03-09 12:42,2021-03-09 23:56,674,-8,8,0,No,,36,409.45,A380,4542,70.91,Economy,No,1pc,UNKNOWN,J46,T4,9
7,Delta Airlines,UNKNOWN,IST - DXB,IST,DXB,2020-11-14 10:35,2020-11-14 13:36,181,0,0,0,No,,69,257.04,A350,5779,74.27,Economy,No,23kg,15.66,P5,T4,16
8,Lufthansa,3777,AMS - LHR,AMS,LHR,2020-09-27 2:37,2020-09-27 9:07,390,-5,5,0,No,,69,337.27,A350,4110,100,First,Yes,2pc,35.59,UNKNOWN,UNKNOWN,9
9,Emirates,439,NBO - DOH,NBO,DOH,2025-01-08 14:18,2025-01-08 22:56,518,0,0,0,No,,17,77.56,A380,4881,100,Business,No,20kg,UNKNOWN,C9,T1,16
10,Turkish Airlines,476,DXB - AMS,DXB,AMS,2023-08-03 20:46,2023-08-03 23:13,147,0,0,0,No,,116,66.85,B777,7486,100,Business,No,No,33.24,Y9,T2,9
11,Singapore Airlines,9250,SIN - FRA,SIN,FRA,2020-04-08 17:53,2020-04-09 1:05,432,11,0,11,No,,30,610.20,A380,10386,97.19,Economy,No,23kg,39.46,U32,UNKNOWN,13
12,South African Airways,UNKNOWN,LAX - LOS,LAX,LOS,2020-04-02 13:50,2020-04-02 16:29,159,7,0,7,No,,79,27.54,A380,8551,98.79,Economy,UNKNOWN,20kg,36.68,I27,T2,20
