Airline,Flight_Number,Route,Departure_Airport,Arrival_Airport,Departure_Time,Arrival_Time,Delay_Minutes,Cancelled,Cancellation_Reason,Ticket_Price,Passenger_Count,Aircraft_Type,Distance_km,On_Time_Percent,Class,Loyalty_Member,Baggage_Allowance,Fuel_Surcharge,Gate,Terminal,Crew_Size
KLM,5467,LAX-ATL,NBO,LOS,2025-06-09 15:07,2025-06-09 17:49,-18,No,,229.2,174,B737,3079,100,First,Yes,,31.57,Q7,,16
KLM,4716,JFK-LOS,LAX,LAX,2020-12-11 21:26,,6,No,,892.72,224,A350,5826,78.9,Business,Yes,2pc,35.72,A13,T2,16
KLM,3354,CDG-SIN,LAX,ATL,2020-03-18 16:56,2020-03-18 22:26,-30,No,,251.9,229,A380,5972,76.79,First,-,1pc,25.41,T7,T3,14
South African Airways,1482,DOH-LOS,AMS,LHR,2022-05-04 11:40,2022-05-04 14:26,28,No,,947.27,207,CRJ900,4479,80.7,Business,Yes,No,36.29,V46,T1,9
Kenya Airways,6891,LOS-CDG,ATL,CDG,2022-01-30 20:27,2022-01-30 22:38,0,No,,691.79,231,A320,6838,100,Business,No,1pc,38.38,F47,T1,13
Qatar Airways,6122,ATL-LHR,ORD,SIN,2021-11-24 11:47,2021-11-24 13:07,-5,No,,453.81,252,A380,10703,100,Business,No,23kg,37.14,K3,T3,20
British Airways,3080,FRA-ORD,LOS,ORD,2021-03-09 12:42,2021-03-09 23:56,-8,No,,409.45,36,A380,4542,70.91,ECONMOY,No,1pc,,J46,T4,9
Delta Air Lines,-,JFK-LAX,IST,DXB,2020-11-14 10:35,2020-11-14 13:36,,No,,257.04,69,A350,5779,74.27,Economy,No,23kg,15.66,P5,T4,16
Delta Air Lines,6282,AMS-SIN,,IST,2025-10-03 10:22,2025-10-03 19:08,10,No,,332.22,286,CRJ900,14101,74.48,First,,,23.11,A44,T4,
Ethiopian Airlines,9445,DOH-LOS,NBO,SIN,2024-08-21 09:28,,18,No,,212.26,282,A350,4284,72.66,Economy,Yes,2pc,32.67,R47,,17
Lufthansa,3777,DXB-DOH,AMS,LHR,2020-09-27 02:37,2020-09-27 09:07,-5,No,,337.27,69,A350,4110,100,First,Yes,2pc,35.59,,,9
Emirates,439,SIN-IST,NBO,DOH,2025-01-08 14:18,2025-01-08 22:56,0,No,,77.56,17,A380,4881,100,Business,No,20kg,,C9,T1,16
Turkish Airlines,476,LOS-AMS,DXB,AMS,2023-08-03 20:46,2023-08-03 23:13,,No,,66.85,116,B777,7486,100,Business,No,No,33.24,Y9,T2,9
Singapore Airlines,9250,IST-LOS,SIN,FRA,2020-04-08 17:53,2020-04-09 01:05,11,No,,610.2,30,A380,10386,97.19,Economy,No,23kg,39.46,U32,,13
South African Airways,,NBO-IST,LAX,LOS,2020-04-02 13:50,2020-04-02 16:29,7,No,,27.54,79,A380,8551,98.79,Economy,,20kg,36.68,I27,T2,20
Singapore Airlines,1557,LOS-JFK,SIN,SIN,2020-10-18 02:25,2020-10-18 05:35,16,No,,527.23,271,A320,5920,85.84,,No,2pc,25.4,K9,T4,8
Singapore Airlines,7676,,AMS,ORD,2021-11-10 06:49,2021-11-10 12:57,-12,No,,28.88,227,A350,2432,73.27,Business,No,1pc,26.32,Y7,T1,8
Air France,3348,CDG-ATL,LAX,SIN,2021-12-23 20:27,2021-12-24 03:10,-,No,,475.93,163,A380,9784,94.41,Business,No,2pc,17.02,O45,T2,12
Singapore Airlines,4389,DOH-JFK,ATL,LAX,2024-04-19 02:01,2024-04-19 11:12,18,No,,308.48,224,B737,4550,100,Economy,Yes,23kg,47.4,K36,T1,14
Emirates,2864,AMS-CDG,ATL,AMS,2025-02-13 09:46,2025-02-13 17:39,-5,No,,614.26,138,B737,10610,77.81,Business,No,No,34.74,G2,T4,6
Kenya Airways,-,CDG-SIN,SIN,NBO,2020-03-23 10:39,2020-03-23 18:04,28,No,,283.6,17,A350,10467,94.23,Business,Yes,20kg,13.88,Y47,T2,16
Ethiopian Airlines,6670,NBO-ORD,JFK,ORD,2024-10-09 17:27,2024-10-09 21:38,12,No,,51.91,183,B777,8534,88.39,Economy,No,No,42.27,W9,T1,6
Ethiopian Airlines,7127,SIN-LHR,LHR,DOH,2021-09-09 18:24,2021-09-10 00:00,-54,No,,312.39,257,A350,4888,94.99,Business,Yes,2pc,36.59,,T2,14
Kenya Airways,9936,NBO-DOH,ORD,SIN,2025-07-12 02:53,2025-07-12 06:33,28,No,,381.93,95,A380,4915,-,Economy,Yes,1pc,41.94,M49,T4,17
Qatar Airways,4362,LOS-CDG,LAX,DOH,2024-08-20 01:46,2024-08-20 10:25,-25,No,,,121,B777,7656,100,Business,No,23kg,24.41,K18,T2,12
South African Airways,2545,LOS-DXB,JFK,DOH,2023-07-27 09:39,2023-07-27 15:52,52.0,No,,465.02,6,CRJ900,299,79.11,First,Yes,1pc,25.81,L19,,11
Turkish Airlines,1559,SIN-LOS,CDG,,2021-11-15 21:14,2021-11-15 22:35,5,No,,237.12,,B777,4896,90.49,Economy,Yes,No,21.87,T6,T1,11
British Airways,6128,SIN-FRA,NBO,CDG,2023-10-27 15:27,2023-10-27 20:39,46,No,,97.32,213,CRJ900,,100,First,No,No,51.17,C41,T3,17
Ethiopian Airlines,2887,LHR-FRA,LOS,DXB,2025-01-04 18:50,2025-01-05 05:10,-10,No,,150.07,6,CRJ900,2137,82.04,First,No,No,24.99,,,4
Turkish Airlines,9393,LHR-SIN,IST,CDG,2022-05-14 07:24,2022-05-14 16:18,-,No,,246.85,193,B737,11495,100,Business,No,23kg,20.45,B44,T1,18
